*//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//
开心影视,#genre#
CCTV6,http://8.146.199.204:33/21/ysp.php?id=cctv6
CCTV6,http://8.146.199.204:33/21/ysp.php?id=cctv6hd
CCTV7,http://8.146.199.204:33/21/ysp.php?id=cctv7
CCTV8,http://8.146.199.204:33/21/ysp.php?id=cctv8
CCTV9,http://8.146.199.204:33/21/ysp.php?id=cctv9
CCTV10,http://8.146.199.204:33/21/ysp.php?id=cctv10
CCTV11,http://8.146.199.204:33/21/ysp.php?id=cctv11
CCTV12,http://8.146.199.204:33/21/ysp.php?id=cctv12
CCTV13,http://8.146.199.204:33/21/ysp.php?id=cctv13
CCTV14,http://8.146.199.204:33/21/ysp.php?id=cctv14
CCTV15,http://8.146.199.204:33/21/ysp.php?id=cctv15
CCTV16,http://8.146.199.204:33/21/ysp.php?id=cctv16
CCTV16-4k,http://8.146.199.204:33/21/ysp.php?id=cctv16-4k
CCTV17,http://8.146.199.204:33/21/ysp.php?id=cctv17
CCTV1,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV2,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV3,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8
CCTV4,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV5,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8
CCTV5+,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel13/index.m3u8
CCTV6,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel6/index.m3u8
CCTV7,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8
CCTV8,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV9,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV10,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8
CCTV11,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV12,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8
CCTV13,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8
CCTV14,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV15,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8
CCTV17,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8
CCTV1,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV3,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV5+,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV7,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV8,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV10,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV11,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV12,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV13,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV14,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV15,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8

卫视频道,#genre#
北京卫视,http://8.146.199.204:33/21/ysp.php?id=bjws
东方卫视,http://8.146.199.204:33/21/ysp.php?id=dfws
天津卫视,http://8.146.199.204:33/21/ysp.php?id=tjws
重庆卫视,http://8.146.199.204:33/21/ysp.php?id=cqws
黑龙江卫视,http://8.146.199.204:33/21/ysp.php?id=hljws
辽宁卫视,http://8.146.199.204:33/21/ysp.php?id=lnws
河北卫视,http://8.146.199.204:33/21/ysp.php?id=hbws
山东卫视,http://8.146.199.204:33/21/ysp.php?id=sdws
安徽卫视,http://8.146.199.204:33/21/ysp.php?id=ahws
河南卫视,http://8.146.199.204:33/21/ysp.php?id=hnws
湖北卫视,http://8.146.199.204:33/21/ysp.php?id=hubws
湖南卫视,http://8.146.199.204:33/21/ysp.php?id=hunws
江西卫视,http://8.146.199.204:33/21/ysp.php?id=jxws
江苏卫视,http://8.146.199.204:33/21/ysp.php?id=jsws
浙江卫视,http://8.146.199.204:33/21/ysp.php?id=zjws
东南卫视,http://8.146.199.204:33/21/ysp.php?id=dnws
广东卫视,http://8.146.199.204:33/21/ysp.php?id=gdws
深圳卫视,http://8.146.199.204:33/21/ysp.php?id=szws
广西卫视,http://8.146.199.204:33/21/ysp.php?id=gxws
贵州卫视,http://8.146.199.204:33/21/ysp.php?id=gzws
四川卫视,http://8.146.199.204:33/21/ysp.php?id=scws
新疆卫视,http://8.146.199.204:33/21/ysp.php?id=xjws
海南卫视,http://8.146.199.204:33/21/ysp.php?id=hinws
兵团卫视,http://8.146.199.204:33/21/ysp.php?id=btws
广东卫视,http://219.147.200.9:18080/newlive/live/hls/32/live.m3u8
深圳卫视,http://219.147.200.9:18080/newlive/live/hls/33/live.m3u8
北京卫视,http://219.147.200.9:18080/newlive/live/hls/26/live.m3u8
东方卫视,http://219.147.200.9:18080/newlive/live/hls/28/live.m3u8
浙江卫视,http://219.147.200.9:18080/newlive/live/hls/29/live.m3u8
湖南卫视,http://219.147.200.9:18080/newlive/live/hls/30/live.m3u8
江苏卫视,http://219.147.200.9:18080/newlive/live/hls/31/live.m3u8
天津卫视,http://219.147.200.9:18080/newlive/live/hls/34/live.m3u8
重庆卫视,http://219.147.200.9:18080/newlive/live/hls/35/live.m3u8
吉林卫视,http://219.147.200.9:18080/newlive/live/hls/36/live.m3u8
辽宁卫视,http://219.147.200.9:18080/newlive/live/hls/37/live.m3u8
河北卫视,http://219.147.200.9:18080/newlive/live/hls/38/live.m3u8
山东卫视,http://219.147.200.9:18080/newlive/live/hls/39/live.m3u8
山西卫视,http://219.147.200.9:18080/newlive/live/hls/40/live.m3u8
河南卫视,http://219.147.200.9:18080/newlive/live/hls/41/live.m3u8
湖北卫视,http://219.147.200.9:18080/newlive/live/hls/42/live.m3u8
安徽卫视,http://219.147.200.9:18080/newlive/live/hls/43/live.m3u8
东南卫视,http://219.147.200.9:18080/newlive/live/hls/44/live.m3u8
江西卫视,http://219.147.200.9:18080/newlive/live/hls/45/live.m3u8
广西卫视,http://219.147.200.9:18080/newlive/live/hls/46/live.m3u8
海南卫视,http://219.147.200.9:18080/newlive/live/hls/47/live.m3u8
四川卫视,http://219.147.200.9:18080/newlive/live/hls/48/live.m3u8
贵州卫视,http://219.147.200.9:18080/newlive/live/hls/49/live.m3u8
云南卫视,http://219.147.200.9:18080/newlive/live/hls/50/live.m3u8
内蒙古视,http://219.147.200.9:18080/newlive/live/hls/51/live.m3u8
陕西卫视,http://219.147.200.9:18080/newlive/live/hls/52/live.m3u8
宁夏卫视,http://219.147.200.9:18080/newlive/live/hls/53/live.m3u8
甘肃卫视,http://219.147.200.9:18080/newlive/live/hls/54/live.m3u8
青海卫视,http://219.147.200.9:18080/newlive/live/hls/55/live.m3u8
新疆卫视,http://219.147.200.9:18080/newlive/live/hls/56/live.m3u8
西藏卫视,http://219.147.200.9:18080/newlive/live/hls/57/live.m3u8
行唐综合,http://27.128.190.231:18080/sdi
黑龙江台,http://219.147.200.9:18080/newlive/live/hls/19/live.m3u8
黑龙江影,http://219.147.200.9:18080/newlive/live/hls/20/live.m3u8
黑龙江文,http://219.147.200.9:18080/newlive/live/hls/21/live.m3u8
黑龙江都,http://219.147.200.9:18080/newlive/live/hls/23/live.m3u8
黑龙江法,http://219.147.200.9:18080/newlive/live/hls/24/live.m3u8
黑龙江少,http://219.147.200.9:18080/newlive/live/hls/25/live.m3u8
北京卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
天津卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
黑龙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
辽宁卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
河北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
安徽卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
湖北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
江西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
江苏卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
东南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
广东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
贵州卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
四川卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
新疆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
兵团卫视,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
蓬安综合,http://palive.patv123.com:8091/live/xwpd_800K.m3u8
湖南卫视,http://live.dxms.top:80/dwy/mghn.php
遂宁综合,https://play.web.snxw.com/live/xwzh/playlist.m3u8
泸州新闻,https://www.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
广西卫视,http://dp.sxtv.top:88/live/bestv.php?id=gxws
广东卫视,http://dp.sxtv.top:88/live/bestv.php?id=gdws
深圳卫视,http://dp.sxtv.top:88/live/bestv.php?id=szws
海南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hainan
三沙卫视,http://dp.sxtv.top:88/live/bestv.php?id=ssws
云南卫视,http://dp.sxtv.top:88/live/bestv.php?id=ynws
贵州卫视,http://dp.sxtv.top:88/live/bestv.php?id=gzws
东南卫视,http://dp.sxtv.top:88/live/bestv.php?id=dnws
厦门卫视,http://dp.sxtv.top:88/live/bestv.php?id=xmws
江西卫视,http://dp.sxtv.top:88/live/bestv.php?id=jxws
安徽卫视,http://dp.sxtv.top:88/live/bestv.php?id=ahws
湖南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hunan
湖北卫视,http://dp.sxtv.top:88/live/bestv.php?id=hubei
河南卫视,http://dp.sxtv.top:88/live/bestv.php?id=hnws
河北卫视,http://dp.sxtv.top:88/live/bestv.php?id=hbws
重庆卫视,http://dp.sxtv.top:88/live/bestv.php?id=cqws
四川卫视,http://dp.sxtv.top:88/live/bestv.php?id=scws
浙江卫视,http://dp.sxtv.top:88/live/bestv.php?id=zjws
江苏卫视,http://dp.sxtv.top:88/live/bestv.php?id=jsws
东方卫视,http://dp.sxtv.top:88/live/bestv.php?id=dfws
东方卫视,http://dp.sxtv.top:88/live/bestv.php?id=zqpd
山东卫视,http://dp.sxtv.top:88/live/bestv.php?id=sdws
北京卫视,http://dp.sxtv.top:88/live/bestv.php?id=bjws
天津卫视,http://dp.sxtv.top:88/live/bestv.php?id=tjws
辽宁卫视,http://dp.sxtv.top:88/live/bestv.php?id=lnws
吉林卫视,http://dp.sxtv.top:88/live/bestv.php?id=jlws
黑龙江卫视,http://dp.sxtv.top:88/live/bestv.php?id=hljws
陕西卫视,http://dp.sxtv.top:88/live/bestv.php?id=sxws
山西卫视,http://dp.sxtv.top:88/live/bestv.php?id=shanxi
甘肃卫视,http://dp.sxtv.top:88/live/bestv.php?id=gsws
宁夏卫视,http://dp.sxtv.top:88/live/bestv.php?id=nxws
青海卫视,http://dp.sxtv.top:88/live/bestv.php?id=qhws
西藏卫视,http://dp.sxtv.top:88/live/bestv.php?id=xzws
新疆卫视,http://dp.sxtv.top:88/live/bestv.php?id=xjws
兵团卫视,http://dp.sxtv.top:88/live/bestv.php?id=btws
内蒙古卫视,http://dp.sxtv.top:88/live/bestv.php?id=nmgws
康巴卫视,http://dp.sxtv.top:88/live/bestv.php?id=kbws
卡酷少儿,http://dp.sxtv.top:88/live/bestv.php?id=kkse
金鹰卡通,http://dp.sxtv.top:88/live/bestv.php?id=jykt
哈哈炫动,http://dp.sxtv.top:88/live/bestv.php?id=hhxd
嘉佳卡通,http://dp.sxtv.top:88/live/bestv.php?id=jjkt
中国天气,http://dp.sxtv.top:88/live/bestv.php?id=zgtq
财富天下,http://dp.sxtv.top:88/live/bestv.php?id=cftx
茶频道,http://dp.sxtv.top:88/live/bestv.php?id=cpd
快乐垂钓,http://dp.sxtv.top:88/live/bestv.php?id=klcd
欢笑剧场4K,http://dp.sxtv.top:88/live/bestv.php?id=hxjc
欢笑剧场4K,http://dp.sxtv.top:88/live/bestv.php?id=hxjc4k
都市剧场,http://dp.sxtv.top:88/live/bestv.php?id=dsjc
动漫秀场,http://dp.sxtv.top:88/live/bestv.php?id=dmxc
乐游,http://dp.sxtv.top:88/live/bestv.php?id=leyou
游戏风云,http://dp.sxtv.top:88/live/bestv.php?id=yxfy
劲爆体育,http://dp.sxtv.top:88/live/bestv.php?id=jbty
魅力足球,http://dp.sxtv.top:88/live/bestv.php?id=mlzq
新视觉,http://dp.sxtv.top:88/live/bestv.php?id=xsj
法治天地,http://dp.sxtv.top:88/live/bestv.php?id=fztd
金色学堂,http://dp.sxtv.top:88/live/bestv.php?id=jsxt
七彩戏剧,http://dp.sxtv.top:88/live/bestv.php?id=qcxj
生活时尚,http://dp.sxtv.top:88/live/bestv.php?id=shss
东方财经,http://dp.sxtv.top:88/live/bestv.php?id=dfcj
星光影院,http://dp.sxtv.top:88/live/bestv.php?id=xgyy
谍战剧场,http://dp.sxtv.top:88/live/bestv.php?id=dzjc
华语影院,http://dp.sxtv.top:88/live/bestv.php?id=hyyy
全球大片,http://dp.sxtv.top:88/live/bestv.php?id=qqdp
热门剧场,http://dp.sxtv.top:88/live/bestv.php?id=rmjc
青春动漫,http://dp.sxtv.top:88/live/bestv.php?id=qcdm
宝宝动画,http://dp.sxtv.top:88/live/bestv.php?id=bbdh
电竞天堂,http://dp.sxtv.top:88/live/bestv.php?id=djtt
热门综艺,http://dp.sxtv.top:88/live/bestv.php?id=rmzy
健康养生,http://dp.sxtv.top:88/live/bestv.php?id=jkys
戏曲精选,http://dp.sxtv.top:88/live/bestv.php?id=xqjx
百变课堂,http://dp.sxtv.top:88/live/bestv.php?id=bbkt
看天下精选,http://dp.sxtv.top:88/live/bestv.php?id=ktxjx
东方影院,http://dp.sxtv.top:88/live/bestv.php?id=dfys
纪实人文,http://dp.sxtv.top:88/live/bestv.php?id=jsrw
金鹰纪实,http://dp.sxtv.top:88/live/bestv.php?id=jyjs
北京纪实科教,http://dp.sxtv.top:88/live/bestv.php?id=bjjskj
五星体育,http://dp.sxtv.top:88/live/bestv.php?id=wxty
第一财经,http://dp.sxtv.top:88/live/bestv.php?id=dycj
海峡卫视,http://dp.sxtv.top:88/live/bestv.php?id=hxws
东方购物,http://dp.sxtv.top:88/live/bestv.php?id=dfgw
福建电视剧,http://dp.sxtv.top:88/live/bestv.php?id=fjdsj
福建教育,http://dp.sxtv.top:88/live/bestv.php?id=fjjy
福建经济,http://dp.sxtv.top:88/live/bestv.php?id=fjjj
福建旅游,http://dp.sxtv.top:88/live/bestv.php?id=fjly
福建少儿,http://dp.sxtv.top:88/live/bestv.php?id=fjse
福建文体,http://dp.sxtv.top:88/live/bestv.php?id=fjwt
福建乡村振兴公共,http://dp.sxtv.top:88/live/bestv.php?id=fjgg
福建新闻,http://dp.sxtv.top:88/live/bestv.php?id=fjxw
福建综合,http://dp.sxtv.top:88/live/bestv.php?id=fjzh
浦东电视台,http://dp.sxtv.top:88/live/bestv.php?id=pudong
上海ICS,http://dp.sxtv.top:88/live/bestv.php?id=shics
上海都市,http://dp.sxtv.top:88/live/bestv.php?id=shds
上海教育,http://dp.sxtv.top:88/live/bestv.php?id=shjy
上海新闻综合,http://dp.sxtv.top:88/live/bestv.php?id=shxwzh
西藏藏语,http://dp.sxtv.top:88/live/bestv.php?id=xzzy

广东卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel16/index.m3u8
江苏卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel18/index.m3u8
深圳卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel17/index.m3u8
浙江卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel19/index.m3u8
吉林卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel20/index.m3u8
湖北卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel21/index.m3u8
江西卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel22/index.m3u8
安徽卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel23/index.m3u8
北京卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel24/index.m3u8
湖南卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel25/index.m3u8
东方卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel26/index.m3u8
黑龙江卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel27/index.m3u8
天津卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel28/index.m3u8
贵州卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel30/index.m3u8
四川卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel31/index.m3u8
辽宁卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel32/index.m3u8
